"rank","name","country","starting_number","total_segment_score","total_element_score","total_component_score","deductions","type","category","base_value","highlight","goe","factor","j1","j2","j3","j4","j5","j6","j7","j8","j9","scores_of_panel"
12," DENNEY Caydee / BARRETT Jeremy","USA",8,105.07,56.27,48.8,NA,"ee","5SLi4",6.6,1,0.1,NA,"0","0","0.5","1","0","0","-0.5","0","0",6.7
12," DENNEY Caydee / BARRETT Jeremy","USA",8,105.07,56.27,48.8,NA,"ee","PCoSp4",4.5,0,0.5,NA,"0.5","0.5","0.5","1","0.5","1","0.5","0.5","0",5
12," DENNEY Caydee / BARRETT Jeremy","USA",8,105.07,56.27,48.8,NA,"pc","Skating Skills",NA,NA,NA,1.6,"6.00","6.25","7.25","6.25","6.25","6.50","6.25","6.25","6.00",6.2
12," DENNEY Caydee / BARRETT Jeremy","USA",8,105.07,56.27,48.8,NA,"pc","Transitions / Linking Footwork",NA,NA,NA,1.6,"6.00","5.75","7.00","6.00","6.00","6.00","6.00","5.50","5.50",5.85
12," DENNEY Caydee / BARRETT Jeremy","USA",8,105.07,56.27,48.8,NA,"pc","Performance / Execution",NA,NA,NA,1.6,"6.50","6.25","7.50","6.50","6.25","6.50","6.00","6.00","5.75",6.25
12," DENNEY Caydee / BARRETT Jeremy","USA",8,105.07,56.27,48.8,NA,"pc","Choreography / Composition",NA,NA,NA,1.6,"6.25","6.00","7.25","6.50","6.00","6.25","6.25","5.75","5.75",6.15
12," DENNEY Caydee / BARRETT Jeremy","USA",8,105.07,56.27,48.8,NA,"pc","Interpretation",NA,NA,NA,1.6,"6.00","6.00","7.25","6.25","6.00","6.50","6.25","5.75","5.75",6.05
12," DENNEY Caydee / BARRETT Jeremy","USA",8,105.07,56.27,48.8,0,"ded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13," DELLA MONICA Nicole / KOCON Yannick","ITA",12,104.78,54.34,51.44,NA,"ee","3S<",1.3,0,-1,NA,"-1","-1","-1","-1","-1","-1","-0.6","-1","-1",0.3
13," DELLA MONICA Nicole / KOCON Yannick","ITA",12,104.78,54.34,51.44,NA,"ee","4Li4",4,0,0.4,NA,"0.5","0.5","0","0.5","0.5","0.5","-0.5","0.5","0",4.4
13," DELLA MONICA Nicole / KOCON Yannick","ITA",12,104.78,54.34,51.44,NA,"ee","3STh",4.5,0,0.28,NA,"0","0","0","0.7","0.7","0.7","0","0.7","0",4.78
13," DELLA MONICA Nicole / KOCON Yannick","ITA",12,104.78,54.34,51.44,NA,"ee","FCoSp4",3,0,0.8,NA,"1","1","0.5","0.5","1","1","0.5","0.5","0",3.8
13," DELLA MONICA Nicole / KOCON Yannick","ITA",12,104.78,54.34,51.44,NA,"ee","2A+2A+SEQ",5.6,0,1,NA,"1","1","1","2","1","1","1","2","1",6.6
13," DELLA MONICA Nicole / KOCON Yannick","ITA",12,104.78,54.34,51.44,NA,"ee","SpSq4",3.4,0,1.4,NA,"1","1","2","1","2","1","1","2","0",4.8
13," DELLA MONICA Nicole / KOCON Yannick","ITA",12,104.78,54.34,51.44,NA,"ee","5ALi2",6.05,1,-0.28,NA,"0","-0.7","-0.7","0","0","0","-0.7","-0.7","0",5.77
13," DELLA MONICA Nicole / KOCON Yannick","ITA",12,104.78,54.34,51.44,NA,"ee","3LoTh",5.5,1,0.28,NA,"0.7","0","0","0.7","0.7","0","0","0.7","0",5.78
13," DELLA MONICA Nicole / KOCON Yannick","ITA",12,104.78,54.34,51.44,NA,"ee","BoDs2",3.5,0,0.42,NA,"0.7","0","0","0.7","0.7","0.7","0","0.7","0",3.92
13," DELLA MONICA Nicole / KOCON Yannick","ITA",12,104.78,54.34,51.44,NA,"ee","2LzTw1",3.3,1,-0.06,NA,"0","0","-0.3","0.5","-0.3","0","0","0","0",3.24
13," DELLA MONICA Nicole / KOCON Yannick","ITA",12,104.78,54.34,51.44,NA,"ee","5SLi3",6.05,1,0,NA,"0","0","-0.5","0","0","0","-0.5","0.5","0",6.05
13," DELLA MONICA Nicole / KOCON Yannick","ITA",12,104.78,54.34,51.44,NA,"ee","PCoSp4",4.5,0,0.4,NA,"0.5","0","0.5","0.5","0.5","0.5","0","0.5","0",4.9
13," DELLA MONICA Nicole / KOCON Yannick","ITA",12,104.78,54.34,51.44,NA,"pc","Skating Skills",NA,NA,NA,1.6,"7.00","6.75","6.00","6.75","6.50","6.50","6.25","7.00","6.50",6.65
13," DELLA MONICA Nicole / KOCON Yannick","ITA",12,104.78,54.34,51.44,NA,"pc","Transitions / Linking Footwork",NA,NA,NA,1.6,"6.25","6.50","5.50","6.25","6.50","6.25","5.75","6.75","6.00",6.3
13," DELLA MONICA Nicole / KOCON Yannick","ITA",12,104.78,54.34,51.44,NA,"pc","Performance / Execution",NA,NA,NA,1.6,"6.50","6.50","6.00","6.50","6.25","6.25","5.75","7.00","6.25",6.35
13," DELLA MONICA Nicole / KOCON Yannick","ITA",12,104.78,54.34,51.44,NA,"pc","Choreography / Composition",NA,NA,NA,1.6,"6.75","6.75","5.75","6.50","6.75","6.25","6.00","7.25","6.25",6.55
13," DELLA MONICA Nicole / KOCON Yannick","ITA",12,104.78,54.34,51.44,NA,"pc","Interpretation",NA,NA,NA,1.6,"6.50","6.50","6.00","6.25","6.25","6.25","5.75","7.00","6.00",6.3
13," DELLA MONICA Nicole / KOCON Yannick","ITA",12,104.78,54.34,51.44,-1,"ded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14," JAMES Vanessa / BONHEUR Yannick","FRA",6,93.94,48.34,45.6,NA,"ee","2S",1.3,0,-0.48,NA,"-0.6","-0.6","-0.6","-0.6","-0.6","-0.6","0","-0.6","0",0.82
14," JAMES Vanessa / BONHEUR Yannick","FRA",6,93.94,48.34,45.6,NA,"ee","3LzTw1",5,0,-0.84,NA,"0","-1.4","0","-2","-0.7","-1.4","0","-0.7","0.7",4.16
14," JAMES Vanessa / BONHEUR Yannick","FRA",6,93.94,48.34,45.6,NA,"ee","5ALi3",6,0,0.4,NA,"0","0","1","0","0","1","1","0","1",6.4
