"rank","name","country","starting_number","total_segment_score","total_element_score","total_component_score","deductions","type","category","base_value","highlight","goe","factor","j1","j2","j3","j4","j5","j6","j7","j8","j9","scores_of_panel"
5,"FLATT Rachael","USA",28,64.64,36.8,27.84,NA,"ee","3Lz",6,0,-1,NA,"-1","-1","-1","-1","-1","0","-1","0","-1",5
5,"FLATT Rachael","USA",28,64.64,36.8,27.84,NA,"ee","FCSp4",3.2,0,0,NA,"0.5","0","0","0","0","0.5","0","0","0.5",3.2
5,"FLATT Rachael","USA",28,64.64,36.8,27.84,NA,"ee","SpSq4",3.4,0,1.2,NA,"1","1","2","0","1","1","1","1","2",4.6
5,"FLATT Rachael","USA",28,64.64,36.8,27.84,NA,"ee","LSp2",1.9,0,0.1,NA,"0.5","0.5","0.5","0","0","0","0","0","0",2
5,"FLATT Rachael","USA",28,64.64,36.8,27.84,NA,"ee","2A",3.5,0,0.6,NA,"1","1","1","0","0","0","1","0","1",4.1
5,"FLATT Rachael","USA",28,64.64,36.8,27.84,NA,"ee","SlSt3",3.3,0,0.6,NA,"1","0.5","1.5","0.5","0.5","1","0.5","0.5","1",3.9
5,"FLATT Rachael","USA",28,64.64,36.8,27.84,NA,"ee","CCoSp4",3.5,0,0.6,NA,"0.5","1","1","0.5","0","0.5","0.5","0.5","0.5",4.1
5,"FLATT Rachael","USA",28,64.64,36.8,27.84,NA,"pc","Skating Skills",NA,NA,NA,0.8,"6.75","6.75","7.25","6.25","7.25","7.00","8.00","6.75","7.00",7
5,"FLATT Rachael","USA",28,64.64,36.8,27.84,NA,"pc","Transitions / Linking Footwork",NA,NA,NA,0.8,"7.50","5.75","7.00","6.25","7.00","6.75","8.00","6.00","6.75",6.6
5,"FLATT Rachael","USA",28,64.64,36.8,27.84,NA,"pc","Performance / Execution",NA,NA,NA,0.8,"7.25","6.25","7.50","6.75","7.50","7.00","8.25","6.75","6.75",7.05
5,"FLATT Rachael","USA",28,64.64,36.8,27.84,NA,"pc","Choreography / Composition",NA,NA,NA,0.8,"7.00","6.00","7.25","6.50","7.50","7.25","8.25","6.25","7.25",6.95
5,"FLATT Rachael","USA",28,64.64,36.8,27.84,NA,"pc","Interpretation",NA,NA,NA,0.8,"7.00","6.50","7.50","6.75","8.00","7.50","8.25","6.75","7.00",7.2
5,"FLATT Rachael","USA",28,64.64,36.8,27.84,0,"ded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"NAGASU Mirai","USA",11,63.76,37,26.76,NA,"ee","3Lz+2T",7.3,0,-1.2,NA,"-1","-1","-2","-1","-1","0","-1","-2","-1",6.1
6,"NAGASU Mirai","USA",11,63.76,37,26.76,NA,"ee","3F",5.5,0,0.2,NA,"1","-1","0","1","0","1","0","0","1",5.7
6,"NAGASU Mirai","USA",11,63.76,37,26.76,NA,"ee","SpSq4",3.4,0,1.6,NA,"1","2","0","2","1","1","2","2","2",5
6,"NAGASU Mirai","USA",11,63.76,37,26.76,NA,"ee","2A",3.5,0,1.2,NA,"2","1","1","1","0","2","2","1","1",4.7
6,"NAGASU Mirai","USA",11,63.76,37,26.76,NA,"ee","FSSp3",2.6,0,0.5,NA,"0.5","0.5","0.5","0.5","0","0.5","0.5","0.5","0.5",3.1
6,"NAGASU Mirai","USA",11,63.76,37,26.76,NA,"ee","LSp4",2.7,0,1.1,NA,"1","1.5","1","1","1","1","1","1.5","1.5",3.8
6,"NAGASU Mirai","USA",11,63.76,37,26.76,NA,"ee","CiSt3",3.3,0,0.7,NA,"1","0.5","0.5","1","0.5","0.5","0.5","1","0.5",4
6,"NAGASU Mirai","USA",11,63.76,37,26.76,NA,"ee","CCoSp4",3.5,0,1.1,NA,"1.5","1.5","1","1","1","1","1","1","1.5",4.6
6,"NAGASU Mirai","USA",11,63.76,37,26.76,NA,"pc","Skating Skills",NA,NA,NA,0.8,"7.00","6.75","7.00","6.75","6.75","6.75","6.75","7.25","7.50",6.85
