competition,isu_year,is_short_program,category,event_type,judge_number,judge_name,judge_nationality
wc2018,1718,1,pairs,individual,6,BINDER Elisabeth,AUT
wc2018,1718,1,pairs,individual,7,Jia YAO,CHN
wc2018,1718,1,pairs,individual,8,JELINEK Lisa,AUS
wc2018,1718,1,pairs,individual,9,BLANC Christine,SUI
wc2018,1718,0,pairs,individual,1,Andreas WALDECK,GER
wc2018,1718,0,pairs,individual,2,TAUCHMANOVA Vera,CZE
wc2018,1718,0,pairs,individual,3,MORANDI Tiziana,ITA
wc2018,1718,0,pairs,individual,4,Shizuko UGAKI,JPN
wc2018,1718,0,pairs,individual,5,Jia YAO,CHN
wc2018,1718,0,pairs,individual,6,KOZHEMYAKINA Olga,RUS
wc2018,1718,0,pairs,individual,7,Claire SHEPHERD,GBR
wc2018,1718,0,pairs,individual,8,BLANC Christine,SUI
wc2018,1718,0,pairs,individual,9,HOWARD Karen,CAN
fc2018,1718,1,men,individual,1,KEEN Leslie,CAN
fc2018,1718,1,men,individual,2,GRAHAM Peggy,USA
fc2018,1718,1,men,individual,3,Angelique CLYDE-SMITH,AUS
fc2018,1718,1,men,individual,4,KUBOTA Masako,JPN
fc2018,1718,1,men,individual,5,CHEN Weiguang,CHN
fc2018,1718,1,men,individual,6,AHN Na Young,KOR
fc2018,1718,1,men,individual,7,Magdalena RUSIECKA,POL
fc2018,1718,1,men,individual,8,GUSKOV Yuri,KAZ
fc2018,1718,1,men,individual,9,NUMANOVA Saodat,UZB
fc2018,1718,0,men,individual,1,GUSKOV Yuri,KAZ
fc2018,1718,0,men,individual,2,AHN Na Young,KOR
fc2018,1718,0,men,individual,3,Angelique CLYDE-SMITH,AUS
fc2018,1718,0,men,individual,4,Magdalena RUSIECKA,POL
fc2018,1718,0,men,individual,5,KUBOTA Masako,JPN
fc2018,1718,0,men,individual,6,KEEN Leslie,CAN
fc2018,1718,0,men,individual,7,NUMANOVA Saodat,UZB
fc2018,1718,0,men,individual,8,GRAHAM Peggy,USA
fc2018,1718,0,men,individual,9,CHEN Weiguang,CHN
fc2018,1718,1,women,individual,1,martinez sasha,MEX
fc2018,1718,1,women,individual,2,FAWCETT Reaghan,CAN
fc2018,1718,1,women,individual,3,GARRARD Neil,RSA
fc2018,1718,1,women,individual,4,Anne Kylie YACOPETTI,AUS
fc2018,1718,1,women,individual,5,an so young,KOR
fc2018,1718,1,women,individual,6,Hailan JIANG,CHN
fc2018,1718,1,women,individual,7,Shizuko UGAKI,JPN
fc2018,1718,1,women,individual,8,CURRIE Deborah,USA
fc2018,1718,1,women,individual,9,Nadezhda PARETSKAIA,KAZ
fc2018,1718,0,women,individual,1,FAWCETT Reaghan,CAN
fc2018,1718,0,women,individual,2,CURRIE Deborah,USA
fc2018,1718,0,women,individual,3,martinez sasha,MEX
fc2018,1718,0,women,individual,4,Hailan JIANG,CHN
fc2018,1718,0,women,individual,5,an so young,KOR
fc2018,1718,0,women,individual,6,GARRARD Neil,RSA
fc2018,1718,0,women,individual,7,Shizuko UGAKI,JPN
fc2018,1718,0,women,individual,8,Anne Kylie YACOPETTI,AUS
fc2018,1718,0,women,individual,9,Nadezhda PARETSKAIA,KAZ
fc2018,1718,1,pairs,individual,1,Feng HUANG,CHN
fc2018,1718,1,pairs,individual,2,Ariadna MORONES NEGRETE,MEX
fc2018,1718,1,pairs,individual,3,Doug WILLIAMS,USA
fc2018,1718,1,pairs,individual,4,Anja RIST,GER
fc2018,1718,1,pairs,individual,5,MAEDA Mami,JPN
fc2018,1718,1,pairs,individual,6,Andrea DERBY,CAN
fc2018,1718,1,pairs,individual,7,PETRICEVIC Susan,NZL
fc2018,1718,1,pairs,individual,8,Hee KOH Sung,KOR
fc2018,1718,1,pairs,individual,9,ANDREW Rebecca,AUS
fc2018,1718,0,pairs,individual,1,Hee KOH Sung,KOR
fc2018,1718,0,pairs,individual,2,MAEDA Mami,JPN
fc2018,1718,0,pairs,individual,3,Feng HUANG,CHN
fc2018,1718,0,pairs,individual,4,Doug WILLIAMS,USA
fc2018,1718,0,pairs,individual,5,Ariadna MORONES NEGRETE,MEX
fc2018,1718,0,pairs,individual,6,Anja RIST,GER
fc2018,1718,0,pairs,individual,7,ANDREW Rebecca,AUS
fc2018,1718,0,pairs,individual,8,Andrea DERBY,CAN
fc2018,1718,0,pairs,individual,9,PETRICEVIC Susan,NZL
gpcan2017,1718,1,men,individual,1,Deborah ISLAM,CAN
gpcan2017,1718,1,men,individual,2,MERIGUET Philippe,FRA
gpcan2017,1718,1,men,individual,3,LEE Ri Tae,KOR
gpcan2017,1718,1,men,individual,4,labunskaiya lolita,RUS
gpcan2017,1718,1,men,individual,5,GLENN Roger,USA
gpcan2017,1718,1,men,individual,6,DE Francoise RAPPARD,BEL
gpcan2017,1718,1,men,individual,7,Alison RYAN,AUS
gpcan2017,1718,1,men,individual,8,TAUCHMANOVA Vera,CZE
gpcan2017,1718,1,men,individual,9,Ayumi KOZUKA,JPN
gpcan2017,1718,0,men,individual,1,Deborah ISLAM,CAN
gpcan2017,1718,0,men,individual,2,MERIGUET Philippe,FRA
gpcan2017,1718,0,men,individual,3,LEE Ri Tae,KOR
gpcan2017,1718,0,men,individual,4,labunskaiya lolita,RUS
gpcan2017,1718,0,men,individual,5,GLENN Roger,USA
gpcan2017,1718,0,men,individual,6,DE Francoise RAPPARD,BEL
gpcan2017,1718,0,men,individual,7,Alison RYAN,AUS
gpcan2017,1718,0,men,individual,8,TAUCHMANOVA Vera,CZE
gpcan2017,1718,0,men,individual,9,Ayumi KOZUKA,JPN
gpcan2017,1718,1,women,individual,1,Ozkan SILAOGLU Tanay,TUR
gpcan2017,1718,1,women,individual,2,HOWARD Karen,CAN
gpcan2017,1718,1,women,individual,3,GLENN Roger,USA
gpcan2017,1718,1,women,individual,4,Massimo ORLANDINI,ITA
gpcan2017,1718,1,women,individual,5,DE Francoise RAPPARD,BEL
gpcan2017,1718,1,women,individual,6,Alison RYAN,AUS
gpcan2017,1718,1,women,individual,7,Ayumi KOZUKA,JPN
gpcan2017,1718,1,women,individual,8,Igor OBRAZTSOV,RUS
gpcan2017,1718,1,women,individual,9,LEE Ri Tae,KOR
gpcan2017,1718,0,women,individual,1,Ozkan SILAOGLU Tanay,TUR
gpcan2017,1718,0,women,individual,2,HOWARD Karen,CAN
gpcan2017,1718,0,women,individual,3,GLENN Roger,USA
gpcan2017,1718,0,women,individual,4,Massimo ORLANDINI,ITA
gpcan2017,1718,0,women,individual,5,DE Francoise RAPPARD,BEL
gpcan2017,1718,0,women,individual,6,Alison RYAN,AUS
gpcan2017,1718,0,women,individual,7,Ayumi KOZUKA,JPN
gpcan2017,1718,0,women,individual,8,Igor OBRAZTSOV,RUS
gpcan2017,1718,0,women,individual,9,LEE Ri Tae,KOR
gpcan2017,1718,1,pairs,individual,1,MERIGUET Philippe,FRA
gpcan2017,1718,1,pairs,individual,2,Angelique CLYDE-SMITH,AUS
gpcan2017,1718,1,pairs,individual,3,Beth CRANE,CAN
gpcan2017,1718,1,pairs,individual,4,KIMMINUS Kerstin,GER
gpcan2017,1718,1,pairs,individual,5,GLENN Roger,USA
gpcan2017,1718,1,pairs,individual,6,TAUCHMANOVA Vera,CZE
gpcan2017,1718,1,pairs,individual,7,Marta OLOZAGARRE,ESP
gpcan2017,1718,1,pairs,individual,8,SHI Wei,CHN
gpcan2017,1718,1,pairs,individual,9,Igor OBRAZTSOV,RUS
gpcan2017,1718,0,pairs,individual,1,MERIGUET Philippe,FRA
gpcan2017,1718,0,pairs,individual,2,Angelique CLYDE-SMITH,AUS
gpcan2017,1718,0,pairs,individual,3,Beth CRANE,CAN
gpcan2017,1718,0,pairs,individual,4,KIMMINUS Kerstin,GER
gpcan2017,1718,0,pairs,individual,5,GLENN Roger,USA
gpcan2017,1718,0,pairs,individual,6,TAUCHMANOVA Vera,CZE
gpcan2017,1718,0,pairs,individual,7,Marta OLOZAGARRE,ESP
gpcan2017,1718,0,pairs,individual,8,SHI Wei,CHN
gpcan2017,1718,0,pairs,individual,9,Igor OBRAZTSOV,RUS
gpusa2017,1718,1,men,individual,1,Alexei BELETSKI,ISR
gpusa2017,1718,1,men,individual,2,an so young,KOR
gpusa2017,1718,1,men,individual,3,CHEN Weiguang,CHN
gpusa2017,1718,1,men,individual,4,Elke TREITZ,GER
gpusa2017,1718,1,men,individual,5,KUNO Yoko,JPN
gpusa2017,1718,1,men,individual,6,martinez sasha,MEX
gpusa2017,1718,1,men,individual,7,BABENKO Sviatoslav,RUS
gpusa2017,1718,1,men,individual,8,ENZMANN Wendy,USA
gpusa2017,1718,1,men,individual,9,ABBOTT Jodi,CAN
gpusa2017,1718,0,men,individual,1,Alexei BELETSKI,ISR
gpusa2017,1718,0,men,individual,2,an so young,KOR
gpusa2017,1718,0,men,individual,3,CHEN Weiguang,CHN
gpusa2017,1718,0,men,individual,4,Elke TREITZ,GER
gpusa2017,1718,0,men,individual,5,KUNO Yoko,JPN
gpusa2017,1718,0,men,individual,6,martinez sasha,MEX
gpusa2017,1718,0,men,individual,7,BABENKO Sviatoslav,RUS
gpusa2017,1718,0,men,individual,8,ENZMANN Wendy,USA
gpusa2017,1718,0,men,individual,9,ABBOTT Jodi,CAN
gpusa2017,1718,1,women,individual,1,Jeff LUKASIK,CAN
gpusa2017,1718,1,women,individual,2,ROSENBLUTH Robert,USA
gpusa2017,1718,1,women,individual,3,Akiko KOBAYASHI,JPN
gpusa2017,1718,1,women,individual,4,ANDREEVA Julia,RUS
gpusa2017,1718,1,women,individual,5,Guangying QIN,CHN
gpusa2017,1718,1,women,individual,6,martinez sasha,MEX
gpusa2017,1718,1,women,individual,7,an so young,KOR
gpusa2017,1718,1,women,individual,8,Adriana DOMANSKA,SVK
gpusa2017,1718,1,women,individual,9,Marta OLOZAGARRE,ESP
gpusa2017,1718,0,women,individual,1,Jeff LUKASIK,CAN
gpusa2017,1718,0,women,individual,2,ROSENBLUTH Robert,USA
gpusa2017,1718,0,women,individual,3,Akiko KOBAYASHI,JPN
gpusa2017,1718,0,women,individual,4,ANDREEVA Julia,RUS
gpusa2017,1718,0,women,individual,5,Guangying QIN,CHN
gpusa2017,1718,0,women,individual,6,martinez sasha,MEX
gpusa2017,1718,0,women,individual,7,an so young,KOR
gpusa2017,1718,0,women,individual,8,Adriana DOMANSKA,SVK
gpusa2017,1718,0,women,individual,9,Marta OLOZAGARRE,ESP
gpusa2017,1718,1,pairs,individual,1,BABENKO Sviatoslav,RUS
gpusa2017,1718,1,pairs,individual,2,Marta OLOZAGARRE,ESP
gpusa2017,1718,1,pairs,individual,3,KRAUZIENE Laimute,LTU
gpusa2017,1718,1,pairs,individual,4,Jeff LUKASIK,CAN
gpusa2017,1718,1,pairs,individual,5,CAMPBELL K. Tamie,USA
gpusa2017,1718,1,pairs,individual,6,Elke TREITZ,GER
gpusa2017,1718,1,pairs,individual,7,Guangying QIN,CHN
gpusa2017,1718,1,pairs,individual,8,Adriana DOMANSKA,SVK
gpusa2017,1718,1,pairs,individual,9,KUNO Yoko,JPN
gpusa2017,1718,0,pairs,individual,1,BABENKO Sviatoslav,RUS
gpusa2017,1718,0,pairs,individual,2,Marta OLOZAGARRE,ESP
gpusa2017,1718,0,pairs,individual,3,KRAUZIENE Laimute,LTU
gpusa2017,1718,0,pairs,individual,4,Jeff LUKASIK,CAN
gpusa2017,1718,0,pairs,individual,5,CAMPBELL K. Tamie,USA
gpusa2017,1718,0,pairs,individual,6,Elke TREITZ,GER
gpusa2017,1718,0,pairs,individual,7,Guangying QIN,CHN
gpusa2017,1718,0,pairs,individual,8,Adriana DOMANSKA,SVK
gpusa2017,1718,0,pairs,individual,9,KUNO Yoko,JPN
gpfra2017,1718,1,men,individual,1,DELFA Daniel,ESP
gpfra2017,1718,1,men,individual,2,Elisabeth LOUESDON,FRA
gpfra2017,1718,1,men,individual,3,Albert ZAYDMAN,ISR
gpfra2017,1718,1,men,individual,4,OGAWA Yuko,JPN
gpfra2017,1718,1,men,individual,5,GRAHAM Peggy,USA
gpfra2017,1718,1,men,individual,6,CHIGOGIDZE Salome,GEO
gpfra2017,1718,1,men,individual,7,GUSKOV Yuri,KAZ
gpfra2017,1718,1,men,individual,8,DOLGUSHIN Igor,RUS
gpfra2017,1718,1,men,individual,9,NUMANOVA Saodat,UZB
gpfra2017,1718,0,men,individual,1,DELFA Daniel,ESP
gpfra2017,1718,0,men,individual,2,Elisabeth LOUESDON,FRA
gpfra2017,1718,0,men,individual,3,Albert ZAYDMAN,ISR
gpfra2017,1718,0,men,individual,4,OGAWA Yuko,JPN
gpfra2017,1718,0,men,individual,5,GRAHAM Peggy,USA
gpfra2017,1718,0,men,individual,6,CHIGOGIDZE Salome,GEO
gpfra2017,1718,0,men,individual,7,GUSKOV Yuri,KAZ
gpfra2017,1718,0,men,individual,8,DOLGUSHIN Igor,RUS
